Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,756",,,9.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,543",,,10.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"7,040",,,10.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,704",,,10.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,453",,,10.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,600",,,11.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,"1,062",,,11.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,956,,,13.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,562,,,5.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,68,,,6.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,778",,,7.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"6,863",,,8.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,481",,,9.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,179",,,9.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"2,080",,,9.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,600",,,7.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,98,,,2.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,319",,,8.7,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"29,759",,,9.5,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"7,910","6,290",79.50%,9.2,26.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"3,072","2,582",84.00%,7.9,24
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"3,418","2,822",82.60%,9.5,22.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,676","3,861",68.00%,12,32.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,983,913,92.90%,6.4,17
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"5,442","4,314",79.30%,10.6,25.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,6,6,100.00%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,27,27,100.00%,3.7,6
