Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,512","2,028",80.70%,7.9,24.7
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,082","3,266",80.00%,9.3,25.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"6,956","5,636",81.00%,8.6,25
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,245","4,320",82.40%,8.4,24.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,795","4,183",87.20%,7.8,20.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"3,625","2,351",64.90%,11.4,37.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,"1,171",901,76.90%,10.1,26.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,993,699,70.40%,10.9,32.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,579,538,92.90%,5,16.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,202,178,88.10%,11.3,20.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,687","3,108",84.30%,7.3,23
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"7,079","6,394",90.30%,7.2,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,497","3,132",89.60%,7.8,19.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,537","3,104",87.80%,8.3,20.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"2,390","2,047",85.60%,8,22.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,637","1,567",95.70%,5.7,15.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,128,127,99.20%,2.4,7.7
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,379","4,548",84.60%,7.4,23.6
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"30,678","25,963",84.60%,7.8,23.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"8,396","7,155",85.20%,7.6,22.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"3,144","2,816",89.60%,7.5,19.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"3,200","2,900",90.60%,7,18.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,225","4,378",70.30%,10.5,30.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,"1,132","1,054",93.10%,6.4,17.6
