Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,446","1,919",78.50%,9.3,28.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"3,864","3,196",82.70%,9.8,24.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"6,334","5,197",82.00%,8.7,26.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,263","4,515",85.80%,9.1,23.2
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,788","4,239",88.50%,7.9,20.2
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"4,658","2,974",63.80%,13.4,34.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,"1,159",924,79.70%,10,26.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,979,719,73.40%,12,32.1
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,554,522,94.20%,6.3,16.4
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,277,229,82.70%,8.2,21.8
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"4,145","3,539",85.40%,8.9,21.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"6,793","6,190",91.10%,7.2,18.7
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,294","2,915",88.50%,7.5,20.3
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,245","2,953",91.00%,8.7,18.6
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"2,275","1,968",86.50%,9.1,23.5
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,613","1,548",96.00%,6,15.6
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,102,102,100.00%,2.7,10.9
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,502","4,637",84.30%,8.5,24.1
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"31,404","26,704",85.00%,8.3,23.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"8,087","7,001",86.60%,7.7,23.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"2,896","2,567",88.60%,7.8,20.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"4,675","4,423",94.60%,5.9,16.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,161","4,286",69.60%,10.9,32.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,"1,095","1,007",92.00%,6.9,18
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"6,121","4,499",73.50%,10.8,28
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,23,23,100.00%,2.3,6.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"2,515","2,349",93.40%,7.7,17.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"2,612","2,471",94.60%,7.4,16.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"3,664","3,412",93.10%,9.5,17.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,"1,326","1,218",91.90%,6.6,18.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,"2,000","1,798",89.90%,8.6,20.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,818,805,98.40%,5,13.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,174,174,100.00%,3.8,11.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,265","3,063",71.80%,10.3,32.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"8,468","7,978",94.20%,6.5,16.7
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology,76,73,96.10%,5.6,15
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"4,535","3,900",86.00%,6.9,23.4
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgery,66,63,95.50%,8.8,16.6
