Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function, 52 plus ,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,1,"2,668",,,8.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,1,"4,468",,,9.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,2,"6,912",,,9.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",2,"5,608",,,9.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,2,"4,584",,,9.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,10,"2,532",,,11.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery, -   ,"1,095",,,12.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery, -   ,928,,,12.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery, -   ,545,,,4.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine, -   ,88,,,6.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,1,"3,642",,,7.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,4,"6,914",,,7.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,5,"3,529",,,8.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,5,"3,236",,,9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,2,"2,079",,,8.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology, -   ,"1,644",,,6.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine, -   ,78,,,2.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,1,"5,339",,,7.7,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,14,"30,076",,,8.2,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery, -   ,"8,102","6,531",80.60%,9.2,25.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology, -   ,"3,082","2,593",84.10%,7.8,22.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics, -   ,"3,378","2,885",85.40%,8.8,21.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1,"5,797","3,948",68.10%,11.4,30.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology, -   ,879,824,93.70%,5.7,16.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery, -   ,"5,519","4,448",80.60%,8.7,24.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery, -   ,3,2,66.70%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine, -   ,39,37,94.90%,1.3,7.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology, -   ,"2,507","2,225",88.80%,7.5,20.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology, -   ,"2,341","2,222",94.90%,6.9,16.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology, -   ,"3,445","2,917",84.70%,9.1,22.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine, -   ,870,782,89.90%,6,18.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology, -   ,"2,175","1,880",86.40%,8.8,21.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology, -   ,937,887,94.70%,7.3,16.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine, -   ,161,161,100.00%,5.2,12.4
