Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,907",,,11,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,695",,,10.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"7,110",,,11,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,200",,,10.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,351",,,10.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,538",,,9.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,937,,,10.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,969,,,11.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,614,,,5.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,72,,,8.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,733",,,7.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"6,946",,,7.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,527",,,8.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,366",,,9.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,945",,,8.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,389",,,7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,80,,,2.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,582",,,7.6,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"29,672",,,8.4,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"7,515","5,798",77.20%,10.2,29.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"2,838","2,561",90.20%,6.7,19.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"3,310","2,620",79.20%,9.8,23.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,198","3,940",63.60%,14.1,35.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,965,912,94.50%,5.9,16.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"5,385","4,218",78.30%,8.9,25.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,5,2,40.00%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,37,36,97.30%,5,14.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"2,917","2,488",85.30%,7.8,20.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"2,444","2,273",93.00%,6.3,17.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"3,054","2,574",84.30%,8.2,22.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,979,907,92.60%,5.2,17.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,"2,082","1,594",76.60%,12.1,23.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,801,779,97.30%,5.7,13.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,120,120,100.00%,5.2,14.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,350","3,268",75.10%,10.9,31.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"7,927","6,991",88.20%,6.7,20.3
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
