Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,899",,,10,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,652",,,10.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"7,021",,,10.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,898",,,10.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,294",,,10.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,534",,,10,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,"1,029",,,10.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,"1,016",,,11.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,588,,,5.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,72,,,7.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,878",,,7.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"7,045",,,8.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,536",,,9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"3,150",,,9.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"2,036",,,8.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,"1,575",,,7.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,81,,,2.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,470",,,8.5,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"29,719",,,9.2,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"7,723","5,981",77.40%,9.6,28.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"3,158","2,735",86.60%,8,23.2
