Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,687",,,21.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,134",,,19,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"7,698",,,21.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,752",,,20.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,273",,,21.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"2,297",,,21.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,738,,,19.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,935,,,25.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,625,,,15.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,32,,,10.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,052",,,15.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"5,266",,,18.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,664",,,19.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"2,743",,,18,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,084",,,16.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,526,,,13.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,25,,,2.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,661",,,18.7,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"24,869",,,19.8,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"5,516","2,425",44.00%,19.6,41.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,720,591,82.10%,5.1,22.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"1,814",746,41.10%,19.9,37.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,068","1,250",24.70%,24.5,44.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,857,396,46.20%,18.8,29.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"1,161",288,24.80%,28.5,46.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,8,2,25.00%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,15,13,86.70%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"2,071","1,401",67.60%,14.5,25.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"1,192",849,71.20%,15.1,25.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"1,462",993,67.90%,15.8,24.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,394,281,71.30%,15.3,21.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,816,554,67.90%,15.7,23.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,385,227,59.00%,16.2,25.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,26,25,96.20%,3.1,14.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"3,496","1,106",31.60%,23.9,47.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"5,126","3,223",62.90%,15.3,29.7
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology,109,64,58.70%,16,29.8
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"4,697","2,378",50.60%,17.9,40.2
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology, -   , -   , -   ,-,-
