Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"2,863",,,19.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,304",,,13.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"8,132",,,26.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","8,041",,,19.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"4,740",,,14.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"3,350",,,16.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,822,,,12.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,919,,,36.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,606,,,6.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,25,,,17,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"3,999",,,10.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"4,299",,,7.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,435",,,11.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"2,327",,,12.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,"1,147",,,8.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,563,,,3.4,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,53,,,2.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"5,890",,,10.8,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"26,874",,,12.8,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"6,621","4,733",71.50%,10.1,43.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"1,498","1,327",88.60%,6.4,19.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"2,219","1,672",75.30%,9.7,39.1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","6,227","2,770",44.50%,21.7,52+
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,"1,002",813,81.10%,7.6,39.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"2,720","2,228",81.90%,8,44.5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,6, -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,23,23,100.00%,2.4,9.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"3,483","3,050",87.60%,6.9,20.8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"1,795","1,711",95.30%,5.9,15.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"1,374","1,324",96.40%,5.1,14.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,640,631,98.60%,5,12.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,743,738,99.30%,4.3,10.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,333,333,100.00%,2.5,8.7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,16,16,100.00%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,640","3,089",66.60%,11.5,50.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"5,097","4,732",92.80%,5.7,17.5
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology,69,44,63.80%,12,33.7
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"4,135","2,859",69.10%,8.7,46
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgery,1,1,100.00%,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_160,Plastic Surgery,2,2,100.00%,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_300,General Medicine, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_301,Gastroenterology,22,16,72.70%,13.3,24.2
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_320,Cardiology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_330,Dermatology, -   , -   , -   ,-,-
