Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks)
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,"3,294",,,22,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,"4,869",,,17.5,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,"8,219",,,25,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","9,031",,,25.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,"5,172",,,20.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,"3,866",,,19.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,746,,,11.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,"1,028",,,30.8,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,714,,,10.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,50,,,6.9,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,"4,679",,,15.6,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,"5,002",,,9.1,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,"3,599",,,15.2,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,"2,157",,,11.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,793,,,7.3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,912,,,4.7,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,67,,,3,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,"7,155",,,13.5,
Y56,R1H,BARTS HEALTH NHS TRUST,X01,Other,"31,535",,,16.2,
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,"6,937","4,658",67.10%,10.6,45.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,"1,332","1,060",79.60%,6.7,26
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,"2,550","1,459",57.20%,15.8,36.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","5,610","2,722",48.50%,18.7,52+
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,"1,010",767,75.90%,8.9,29.3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,"4,385","2,948",67.20%,10.5,29.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery,4, -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,17,16,94.10%,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,"3,770","2,946",78.10%,9.6,24.4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,"1,897","1,832",96.60%,5.1,14.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,"1,646","1,577",95.80%,4.9,15.9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,729,650,89.20%,6.3,19.6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,754,751,99.60%,4.5,11
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,505,495,98.00%,4.1,15.2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,38,38,100.00%,0.8,8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,"4,888","2,737",56.00%,15.6,52+
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,"5,060","4,560",90.10%,5.6,19
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery,"1,824",790,43.30%,20.9,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology,"3,935","2,081",52.90%,16.9,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,"6,502","2,600",40.00%,22,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)","8,035","3,010",37.50%,29,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology,"5,935","3,368",56.70%,15.7,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery,189,24,12.70%,52+,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery,"2,690",822,30.60%,37.8,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_300,General Medicine,87,41,47.10%,21.3,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology,"4,716","2,682",56.90%,15.5,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,Cardiology,"2,432","1,956",80.40%,7.6,25.5
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_330,Dermatology,"5,352","2,860",53.40%,16.6,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_340,Thoracic Medicine,"2,531","1,630",64.40%,12.7,33.8
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_400,Neurology,"1,911","1,423",74.50%,10.3,28.4
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_410,Rheumatology,"2,526","1,456",57.60%,15.5,45
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_430,Geriatric Medicine,60,44,73.30%,10.4,43.2
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_502,Gynaecology,"3,790","1,976",52.10%,17.3,52+
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X01,Other,"27,657","14,269",51.60%,17.3,52+
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology,77,45,58.40%,13.5,41.9
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"5,017","3,313",66.00%,11.2,50.5
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgery,1, -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_160,Plastic Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_300,General Medicine, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_301,Gastroenterology,10,3,30.00%,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_320,Cardiology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_330,Dermatology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_340,Thoracic Medicine, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_400,Neurology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_410,Rheumatology,120,76,63.30%,11.7,33.4
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_430,Geriatric Medicine, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_502,Gynaecology, -   , -   , -   ,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X01,Other,999,770,77.10%,8.1,30
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_100,General Surgery,"1,432","1,114",77.80%,8.1,26.5
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_101,Urology,"1,462","1,109",75.90%,10.6,28.8
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,801,547,68.30%,11.3,39.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_130,Ophthalmology,961,805,83.80%,7.1,21.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_140,Oral Surgery, -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_160,Plastic Surgery, -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_300,General Medicine,404,355,87.90%,7.4,20.5
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_301,Gastroenterology,"1,090",911,83.60%,8.3,22.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_320,Cardiology,931,762,81.80%,8.1,22.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_330,Dermatology,"1,122",891,79.40%,8.7,24.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_340,Thoracic Medicine,926,686,74.10%,9.5,26.3
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_400,Neurology,422,393,93.10%,7.4,17.7
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_410,Rheumatology,431,368,85.40%,9.6,20
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_430,Geriatric Medicine,179,151,84.40%,8.6,21.1
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_502,Gynaecology,"1,157",870,75.20%,8,27
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,X01,Other,"2,011","1,678",83.40%,8.2,22
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery,"1,212",646,53.30%,17.1,52+
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_101,Urology,927,489,52.80%,17.2,37.6
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,"3,260","1,834",56.30%,15.5,52+
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)",942,443,47.00%,20.5,34.4
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology,"1,484",925,62.30%,14.7,28.1
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery,892,514,57.60%,15.6,31.2
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-
