Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,819",,,17.3,,482
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,392",,,16.3,,647
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"10,006",,,18.6,,"1,734"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,398",,,26.7,,"1,519"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,299",,,16.7,,340
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,262",,,16.6,,393
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,827,,,9.9,,31
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,012",,,19.2,,228
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,829,,,10.2,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,99,,,15.6,,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,102",,,13.6,,282
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,124",,,8.7,,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"4,872",,,14.7,,78
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"3,000",,,11.4,,77
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,109",,,8.2,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,604",,,7.9,,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,107,,,3.9,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,623",,,14.1,,450
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"11,004",,,9.3,,226
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,586",,,18.4,,"1,643"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,014",,,15.4,,"1,217"
