Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,776",,,20.2,,501
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,845",,,19.3,,718
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,918",,,17.2,,"1,197"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,823",,,24.9,,"1,268"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,619",,,16.7,,421
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,765",,,15.1,,287
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,228",,,13.7,,49
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,133",,,22.6,,216
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,916,,,12,,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,103,,,21.5,,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,685",,,13.2,,261
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,211",,,9.7,,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"5,648",,,16.7,,46
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"3,501",,,12.8,,106
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,461",,,10,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,226",,,13.3,,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,114,,,6,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,798",,,14.3,,516
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"12,101",,,10.1,,176
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,1,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,579",,,17.4,,"1,136"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,864",,,15.4,,"1,262"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,811,,,11.8,,54
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,893","5,462",69.20%,11.3,34.7,195
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,619","1,895",72.40%,10.8,31.2,9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"3,249","2,161",66.50%,12.9,34.1,42
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"5,996","4,034",67.30%,12.5,31.4,58
