Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,675",,,16.8,,448
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,178",,,15.3,,653
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"9,514",,,18.8,,"1,739"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,308",,,29.6,,"1,549"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,167",,,17.4,,388
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,251",,,16,,477
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,804,,,9.5,,43
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,992,,,21.5,,244
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,776,,,10.1,,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,98,,,11.7,,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,921",,,14,,273
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"5,952",,,8.6,,12
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"4,817",,,14.2,,75
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"2,837",,,10.3,,68
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,943,,,8.2,,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,397",,,6.5,,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,87,,,1.9,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,522",,,13.4,,476
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"10,659",,,8.6,,217
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,298",,,18.7,,"1,698"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"11,424",,,15.3,,"1,276"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,704,,,7.2,,48
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,209","5,369",74.50%,9.6,39.3,303
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"1,851","1,536",83.00%,7.8,25.8,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"2,995","2,100",70.10%,10.8,36.5,11
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"5,032","3,504",69.60%,11.8,39.4,155
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,140","1,024",89.80%,6.5,20.6,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"5,754","4,313",75.00%,10.9,30,53
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,1,1,100.00%,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,6,6,100.00%,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"4,209","3,215",76.40%,9.9,31.9,6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"1,972","1,965",99.60%,4.9,11.2,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"2,057","2,039",99.10%,4.9,11.5,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,904,897,99.20%,6.3,13.3,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"1,316","1,294",98.30%,7.2,15,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,491,488,99.40%,4,11.8,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,46,46,100.00%,1.6,6.3,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"5,361","3,514",65.50%,11.4,46,297
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"5,448","5,086",93.40%,6.5,17.3,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,865,784,90.60%,8.3,18.5,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,34,29,85.30%,10.5,24.6,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,743",865,49.60%,18.2,53.7,148
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology Service,"4,230","1,799",42.50%,21,58.7,453
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"7,521","3,082",41.00%,23.6,73,"1,107"
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"8,335","3,562",42.70%,22.7,75.4,"1,633"
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"7,793","4,146",53.20%,16.5,46.5,488
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery Service,91,16,17.60%,56.5,81.9,48
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"2,996","1,265",42.20%,25.9,101.4,873
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,118,72,61.00%,12.3,48.6,8
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"4,605","2,583",56.10%,14.9,46.2,255
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,Cardiology Service,"3,516","2,547",72.40%,10.2,28.7,7
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_330,Dermatology Service,"7,001","3,966",56.60%,15.1,44.6,321
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"2,447","1,523",62.20%,13.2,37.4,20
