Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,637",,,17.7,,500
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,781",,,15,,666
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"9,268",,,20.9,,"1,772"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"9,409",,,22.5,,"1,915"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,836",,,20.4,,484
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,412",,,16.2,,584
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,764,,,9.6,,53
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,006",,,24.1,,254
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,782,,,9.5,,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,95,,,8,,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,184",,,12.4,,226
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"5,602",,,8,,13
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"4,594",,,14.1,,59
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"2,666",,,9,,67
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,942,,,8.1,,16
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,296",,,5.9,,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,61,,,1.8,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,406",,,13.8,,550
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"10,279",,,8,,310
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,348",,,18.3,,"1,814"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"11,678",,,14.9,,"1,440"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,728,,,6.9,,43
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,145","5,220",73.10%,9.3,40.9,333
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"1,834","1,558",85.00%,6.5,27.1,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"2,971","1,980",66.60%,10,36.8,11
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"5,093","3,391",66.60%,11.8,45.9,170
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,030",916,88.90%,6.1,24.3,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"5,125","3,883",75.80%,10.1,31.8,58
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0
