Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,531",,,20.3,,543
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,511",,,15.7,,716
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,672",,,24.4,,"1,810"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"9,449",,,25.6,,"2,137"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,998",,,23.2,,658
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,259",,,18.3,,758
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,724,,,9.9,,58
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,071",,,27.7,,298
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,761,,,9.1,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,102,,,5.2,,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,795",,,12.8,,189
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"5,365",,,8.7,,37
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"4,320",,,13.5,,79
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"2,500",,,9.9,,78
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,918,,,7.7,,25
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,247",,,5.8,,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,63,,,2.3,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"6,981",,,14.1,,629
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"10,159",,,8.6,,447
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,481",,,20.1,,"2,062"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"11,965",,,15.2,,"1,785"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,594,,,6.5,,37
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,135","5,073",71.10%,9.3,42,373
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"1,649","1,390",84.30%,5.9,28.3,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"2,876","1,759",61.20%,11.8,37.3,27
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"4,941","2,934",59.40%,12.7,46.3,274
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,016",855,84.20%,6.4,28.1,12
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"4,847","3,472",71.60%,10.6,32.1,89
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,3,2,66.70%,-,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,2,2,100.00%,-,-,0
