Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,757",,,19.2,,505
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,692",,,18.2,,652
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,576",,,17.8,,"1,267"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,778",,,26.4,,"1,331"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,590",,,16.7,,411
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,607",,,15.3,,296
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,170",,,11.2,,37
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,065",,,21.4,,209
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,867,,,10.7,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,102,,,21.3,,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,712",,,13.3,,316
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"5,966",,,8.9,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"5,494",,,16.2,,60
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"3,354",,,11,,113
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,401",,,8.8,,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,286",,,13.2,,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,112,,,3.6,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,775",,,13.4,,507
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"11,811",,,8.4,,162
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,356",,,17.8,,"1,229"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,649",,,14.5,,"1,235"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,822,,,8.7,,41
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"8,111","5,916",72.90%,9.5,33.2,230
