Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,920",,,18.2,,509
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,608",,,17.7,,640
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"9,137",,,18.2,,"1,461"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,063",,,25.3,,"1,433"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,879",,,16.8,,420
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,615",,,15.6,,364
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,081",,,10.5,,40
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,026",,,22,,211
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,833,,,11.3,,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,96,,,20.5,,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,919",,,14.3,,313
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,000",,,9.1,,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"5,630",,,17,,86
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"3,269",,,11.7,,110
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,287",,,8.4,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,516",,,11.3,,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,96,,,3.3,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,827",,,13.6,,451
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"11,754",,,8.9,,213
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,583",,,18.5,,"1,415"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,600",,,15.2,,"1,205"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,737,,,7.7,,38
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,947","5,765",72.50%,9.9,34.3,240
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,497","1,919",76.90%,9.3,28,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"3,465","2,255",65.10%,12.9,35,33
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"5,691","3,915",68.80%,12.2,29.6,105
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,396","1,094",78.40%,10,23.6,7
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"6,505","4,119",63.30%,13.7,29.7,37
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   ,,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,2,1,50.00%,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   ,,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,11,11,100.00%,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"4,734","3,170",67.00%,12.3,30.8,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"2,157","2,132",98.80%,5,12.8,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"2,878","2,756",95.80%,6.2,16.1,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,054","1,011",95.90%,6.6,15.3,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"1,766","1,400",79.30%,11,22,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,562,555,98.80%,4.6,10.8,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,88,88,100.00%,2.3,7,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"6,049","4,074",67.30%,11.9,42.8,242
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"5,840","5,006",85.70%,7.6,21.4,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services, -   , -   ,,-,-,0
