Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,714",,,17.3,,468
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,341",,,17.3,,612
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"9,613",,,17.9,,"1,588"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,007",,,26.8,,"1,482"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,048",,,15.8,,303
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,341",,,16.3,,404
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,932,,,10.6,,32
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,021",,,21.8,,235
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,864,,,10.7,,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,102,,,19.1,,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,015",,,13.9,,295
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,005",,,8.7,,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"5,222",,,15.7,,63
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"3,140",,,12.1,,88
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,201",,,8.3,,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,574",,,9.3,,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,116,,,2.7,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,590",,,14,,437
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"11,223",,,9.3,,227
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,768",,,18.1,,"1,492"
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,304",,,14.5,,"1,189"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,699,,,7.4,,32
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,456","5,369",72.00%,10.4,36.5,239
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,253","1,733",76.90%,9.1,27.9,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"3,251","2,206",67.90%,12.4,38.3,14
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"5,127","3,494",68.10%,12.9,32,98
