Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,620",,,19.8,,382
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,690",,,19.1,,555
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,072",,,17.9,,889
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,728",,,23.9,,"1,093"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,579",,,15.6,,233
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"5,069",,,16.1,,247
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,342",,,16.5,,53
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,043",,,21.4,,145
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,950,,,13,,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,78,,,19.8,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,656",,,13,,185
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,708",,,10,,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"5,920",,,17.4,,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"3,633",,,14.7,,126
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,384",,,11.2,,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,998,,,11.6,,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,111,,,3.7,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,666",,,14.8,,476
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"11,756",,,11.4,,184
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,363",,,16.8,,855
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,256",,,16,,"1,095"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,839,,,11.2,,41
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,360","5,172",70.30%,10.9,36.2,144
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,815","1,945",69.10%,11.3,33.9,18
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"3,210","2,088",65.00%,12.7,36.3,16
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"6,310","4,042",64.10%,13.3,32.9,24
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,629",990,60.80%,13.5,34.2,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"7,521","4,154",55.20%,16.2,35.1,34
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,1, -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,7,7,100.00%,-,-,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"3,980","2,436",61.20%,14.1,33.7,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,015","2,802",92.90%,6.2,17.3,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"2,902","2,604",89.70%,7,19.8,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,142","1,087",95.20%,6.5,15.9,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,285","1,356",59.30%,14.8,31.2,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,402,401,99.80%,3.3,9.8,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,37,37,100.00%,2.2,10,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"6,233","3,701",59.40%,13.7,41.5,156
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"6,409","5,326",83.10%,8.6,23.6,0
