Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,704",,,19.6,,431
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,799",,,18.7,,652
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,361",,,17.4,,"1,048"
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,820",,,23,,"1,149"
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,604",,,15.9,,279
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,867",,,15.2,,270
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,307",,,14.9,,54
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,093",,,23.4,,186
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,946,,,12.6,,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,88,,,24.5,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,504",,,12.8,,228
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,528",,,10,,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"5,701",,,17.2,,20
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"3,493",,,13.7,,111
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,467",,,10.5,,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,121",,,14.1,,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,114,,,2.9,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,793",,,14.9,,494
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"12,022",,,11.1,,188
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,649",,,16.8,,947
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,053",,,15.7,,"1,222"
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,863,,,11.6,,52
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,658","5,289",69.10%,11.7,36.2,174
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,695","1,880",69.80%,11,32.9,10
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"3,212","2,083",64.90%,12.7,35.5,22
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"6,169","4,117",66.70%,12.7,32.1,33
