Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,494",,,20.1,,378
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,034",,,17.8,,520
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,043",,,18.7,,795
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,388",,,23.9,,964
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,204",,,15.2,,142
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"5,346",,,16.6,,273
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,467",,,16.2,,50
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,044",,,20.5,,135
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,990,,,12.2,,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,71,,,24.5,,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,767",,,11.4,,181
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,604",,,9,,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,194",,,17.7,,12
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,041",,,15.5,,113
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,435",,,10.1,,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,925,,,9.7,,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,83,,,5.2,,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,995",,,15.2,,455
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"12,129",,,10.6,,190
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,659",,,16.6,,771
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,795",,,16.2,,993
