Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Year_Num,Month_Num,Source_File
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,397",,,21.7,,608,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,187",,,16.9,,739,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,734",,,25.1,,"2,037",2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"9,466",,,25.7,,"2,338",2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,134",,,22.7,,859,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"4,374",,,18.8,,887,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,724,,,12.9,,95,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,064",,,29.9,,343,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,770,,,8.3,,7,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,76,,,6.2,,2,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,744",,,13.4,,248,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"5,118",,,8.5,,46,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"4,033",,,13.9,,192,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"2,351",,,10.7,,119,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,852,,,7.2,,41,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,144",,,5.3,,3,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,51,,,2.8,,0,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"7,130",,,13.7,,747,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"9,857",,,8.9,,552,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0,2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,552",,,21,,"2,439",2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"11,970",,,18.7,,"2,153",2021,4,RTT_2021_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,545,,,8.3,,47,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"7,153","4,778",66.80%,9.8,43.4,466,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"1,495","1,215",81.30%,6.3,27.6,1,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"2,661","1,471",55.30%,14.1,37.8,54,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"5,582","2,791",50.00%,18,59.3,489,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,949,763,80.40%,6.9,29.7,16,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"4,865","3,301",67.90%,9.7,30.7,114,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,2,1,50.00%,-,-,1,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,12,11,91.70%,-,-,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"3,812","2,772",72.70%,9.9,27.2,3,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"2,047","2,008",98.10%,5.9,14.5,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"1,669","1,599",95.80%,4.7,12.7,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,761,701,92.10%,5.4,17.8,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,829,827,99.80%,5,10.7,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,533,526,98.70%,3.8,11.8,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,27,27,100.00%,0.7,4.4,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"5,007","2,827",56.50%,13.6,60.2,455,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"4,386","3,953",90.10%,5.9,19.4,4,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,770,684,88.80%,6,20.8,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,57,54,94.70%,6,15.2,0,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,805",754,41.80%,21.4,68.7,317,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology Service,"3,826","1,719",44.90%,20.2,62.7,496,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"7,250","2,560",35.30%,26.7,69.3,"1,454",2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"9,037","3,152",34.90%,28.8,66.9,"2,335",2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"6,917","3,875",56.00%,14.7,63.2,884,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery Service,171,21,12.30%,64.5,86.6,116,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"2,820",921,32.70%,31.8,102.4,"1,140",2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,93,43,46.20%,20,53.6,9,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"4,989","2,684",53.80%,15.9,52.5,414,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,Cardiology Service,"2,703","2,036",75.30%,8.7,27.4,9,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_330,Dermatology Service,"6,107","3,135",51.30%,16.7,59.9,598,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"2,625","1,607",61.20%,13,34.6,22,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_400,Neurology Service,"2,153","1,577",73.20%,10.5,30,12,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_410,Rheumatology Service,"2,712","1,444",53.20%,16.4,41.1,87,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,65,48,73.80%,7.8,42.9,4,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_502,Gynaecology Service,"3,919","1,942",49.60%,18.2,64.6,495,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X02,Other - Medical Services,"10,223","6,082",59.50%,13.2,61.8,"1,186",2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"4,918","2,333",47.40%,19.3,65.3,945,2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,"12,757","5,469",42.90%,22.3,68.3,"3,213",2021,4,RTT_2021_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X06,Other - Other Services,"1,535",931,60.70%,11.9,64.9,214,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology Service,76,51,67.10%,13.3,42.9,2,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,934","3,214",65.10%,10.3,43.4,314,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,Ear Nose and Throat Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgical Service,1, -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_160,Plastic Surgery Service,4,2,50.00%,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_300,General Internal Medicine Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_301,Gastroenterology Service,12,6,50.00%,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_320,Cardiology Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_330,Dermatology Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_340,Respiratory Medicine Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_400,Neurology Service,1,1,100.00%,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_410,Rheumatology Service,142,85,59.90%,14.4,35.5,1,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_430,Elderly Medicine Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_502,Gynaecology Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X02,Other - Medical Services,580,433,74.70%,8.4,32.4,8,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X03,Other - Mental Health Services,3,3,100.00%,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X04,Other - Paediatric Services,454,357,78.60%,7.4,27.1,4,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X05,Other - Surgical Services, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,X06,Other - Other Services,14,14,100.00%,-,-,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_100,General Surgery Service,"1,291","1,081",83.70%,6.4,22.6,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_101,Urology Service,"1,145",898,78.40%,9.5,24.2,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_110,Trauma and Orthopaedic Service,618,477,77.20%,8.2,23.9,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_120,Ear Nose and Throat Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_130,Ophthalmology Service,641,563,87.80%,4.3,20.6,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_140,Oral Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_160,Plastic Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_300,General Internal Medicine Service,305,274,89.80%,7.9,19.1,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_301,Gastroenterology Service,"1,083",938,86.60%,6.4,20,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_320,Cardiology Service,770,660,85.70%,7.3,22.6,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_330,Dermatology Service,807,679,84.10%,7.7,21.4,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_340,Respiratory Medicine Service,953,732,76.80%,8.4,24.1,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_400,Neurology Service,324,305,94.10%,8.1,16.4,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_410,Rheumatology Service,395,303,76.70%,11,22.9,0,2021,4,RTT_2021_APR
Y56,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,C_430,Elderly Medicine Service,185,144,77.80%,9.3,23.4,0,2021,4,RTT_2021_APR
