Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,514",,,21.3,,434,70
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,433",,,16.6,,533,103
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,064",,,19.7,,795,214
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,458",,,23.5,,871,365
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,462",,,13.4,,149,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"5,525",,,16.5,,259,45
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,511",,,16.3,,46,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,988,,,20.1,,125,36
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,"1,020",,,12.8,,8,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,65,,,27,,3,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"4,727",,,12.1,,175,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,837",,,9.7,,6,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,268",,,18.5,,38,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,334",,,15.4,,123,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,479",,,9.8,,3,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,888,,,10.2,,8,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,99,,,3.6,,0,0
