Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,548","1,812",51.10%,17.1,60,437,60
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,613","3,351",44.00%,20.7,54.8,715,67
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,588","3,761",49.60%,18.2,57.3,801,130
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,234","1,941",45.80%,20.9,66.5,657,146
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,485","2,856",63.70%,13.8,42.5,130,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,149","2,973",48.30%,18.7,47.4,350,35
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,728",847,49.00%,18.4,50,119,13
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,883,395,44.70%,20.3,57.5,107,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,831,534,64.30%,10.9,40.4,16,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,46,20,43.50%,21.5,63.3,4,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,437","3,418",62.90%,13.3,41.4,187,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,897","5,071",73.50%,10.3,28.6,4,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"7,067","3,667",51.90%,17.1,43.2,60,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,831","2,392",49.50%,18.2,47,247,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,858","1,368",73.60%,11.3,30.2,11,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,764,629,82.30%,8.4,27.8,11,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,105,91,86.70%,5.4,20.7,0,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"8,759","4,731",54.00%,16.4,49.1,584,87
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"13,386","8,432",63.00%,12.6,39.3,338,13
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,797","5,594",51.80%,17.2,52.5,889,107
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,859","6,750",48.70%,18.7,57.4,"1,521",220
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,"1,076",738,68.60%,7.6,41.4,41,2
