Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,982","2,180",54.70%,16,56.1,380,47,162
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,340","3,612",49.20%,18.4,53.8,654,52,206
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,597","3,508",46.20%,20,58.8,863,149,398
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,279","2,025",47.30%,19.5,60.8,524,114,248
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,725","2,809",59.40%,14.3,40.6,157,1,29
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,441","3,075",47.70%,19.1,50.3,455,42,138
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,550",773,49.90%,18.1,55.8,149,13,63
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,791,330,41.70%,22.6,52.3,65,10,31
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,918,595,64.80%,11.8,39.5,19,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,44,14,31.80%,28,63.2,9,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,916","3,482",58.90%,14,41.2,188,2,40
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"7,805","5,942",76.10%,9.9,28.1,4,1,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"7,806","3,518",45.10%,19.8,45.7,173,2,21
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,327","2,150",49.70%,18.1,50.1,283,31,75
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,051","1,243",60.60%,13.9,34.3,21,1,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,771,663,86.00%,7.6,21.7,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,93,76,81.70%,5.9,25.1,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"8,947","4,570",51.10%,17.4,52.6,726,125,326
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"12,384","8,220",66.40%,11.5,37.6,306,10,55
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,644","5,035",47.30%,19.5,50.8,806,54,230
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,143","6,931",52.70%,16.4,55.1,"1,230",170,469
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,909,628,69.10%,8.5,38.4,23,1,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"11,002","6,797",61.80%,13.5,36.3,197,26,73
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,786","1,955",70.20%,11.7,32.7,17,-,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,570","2,687",58.80%,14.8,38.3,62,2,11
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"10,865","4,286",39.40%,23.6,47.9,439,4,23
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,427","1,097",76.90%,9.6,28.1,11,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,571","4,694",49.00%,18.4,39.4,121,-,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,85,72,84.70%,9.5,23.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"4,876","3,021",62.00%,13.4,31.9,7,1,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,487","2,949",84.60%,8.4,21.9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"3,336","2,868",86.00%,9.3,20.6,1,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,853","1,388",74.90%,10.3,26.3,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,656","1,512",56.90%,15.6,34.4,1,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,781,742,95.00%,6.7,16,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,37,37,100.00%,1.8,9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"7,748","3,813",49.20%,18.5,52.1,621,73,269
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"6,725","5,195",77.20%,9.5,27.3,11,-,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,895,662,74.00%,11,26.5,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,17,16,94.10%,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"2,759","1,295",46.90%,19.6,49.4,173,6,58
