Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,632",,,18.6,,467,57
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,386",,,19.9,,700,93
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,489",,,18.1,,832,171
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,299",,,21,,691,191
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,431",,,14.5,,133,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,025",,,18.2,,344,41
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,790",,,18.1,,100,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,928,,,19.7,,122,24
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,911,,,11.1,,21,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,54,,,22.5,,9,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,441",,,12.9,,190,17
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,803",,,10.8,,4,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,724",,,17.6,,72,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,708",,,18.5,,246,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,634",,,10.8,,11,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,788,,,9,,16,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,98,,,4.1,,0,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"8,971",,,15.2,,534,68
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"13,267",,,12.5,,344,18
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   ,,,-,,0,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,865",,,17,,865,139
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,592",,,18.6,,"1,379",217
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,"1,135",,,8.4,,75,15
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"9,773","6,788",69.50%,11.3,35.8,220,20
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,919","1,946",66.70%,11.8,36.8,42,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,261","2,877",67.50%,12.1,35.3,64,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"9,645","5,252",54.50%,16.3,39.8,134,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,568","1,073",68.40%,10.8,35.7,21,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"8,984","5,054",56.30%,16.5,38.9,92,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,9,9,100.00%,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,23,23,100.00%,5.8,11.6,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"4,212","2,819",66.90%,13.4,28.8,6,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,588","2,877",80.20%,9.2,23.3,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"3,291","2,879",87.50%,6.8,21.4,2,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,388","1,240",89.30%,8.8,19.7,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,772","1,441",52.00%,17.2,38.9,1,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,838,813,97.00%,6,15.8,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,49,48,98.00%,5.3,14.5,0,0
