Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,718","1,967",52.90%,16.3,58.6,428,67
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,541","3,570",47.30%,19.4,53.6,682,62
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,815","3,946",50.50%,17.7,58.1,839,157
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,065","1,868",46.00%,20.1,66.2,589,121
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,489","2,812",62.60%,13,43,131,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,090","3,051",50.10%,18,48.5,340,50
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,677",857,51.10%,17.6,52.2,136,16
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,931,438,47.00%,19.6,58.3,100,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,906,618,68.20%,10.6,36.8,11,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,56,23,41.10%,19.9,52.3,5,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"5,643","3,427",60.70%,13.9,38.8,180,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"6,923","5,127",74.10%,10.1,29.2,6,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"7,171","3,727",52.00%,16.7,44.3,92,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,721","2,252",47.70%,18.8,47,246,16
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,871","1,259",67.30%,12.4,31.7,14,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,778,633,81.40%,8.3,28.2,9,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,110,94,85.50%,4.7,23.6,0,0
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"9,494","5,037",53.10%,16.5,49.8,647,102
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"13,050","8,499",65.10%,11.9,37.4,263,12
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,0
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,473","5,181",49.50%,18.2,51.8,826,82
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,792","6,919",50.20%,17.9,56.4,"1,414",206
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,930,661,71.10%,8.9,37.7,27,6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"10,467","6,868",65.60%,11.9,34.8,224,16
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,886","2,009",69.60%,11.2,33.5,35,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,522","2,885",63.80%,13.4,34.6,55,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"9,917","4,585",46.20%,19.6,43.9,139,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,551","1,079",69.60%,9.9,33.8,10,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,215","4,853",52.70%,16.4,40,104,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,30,29,96.70%,5.5,16.5,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,11,11,100.00%,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"5,049","3,343",66.20%,12.2,27.6,11,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,548","2,934",82.70%,8.3,23.9,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"3,317","2,951",89.00%,8.1,20.1,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,446","1,172",81.10%,10.2,25.2,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,981","1,440",48.30%,18.8,40.6,1,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,913,837,91.70%,7.4,18.1,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,51,51,100.00%,2,10,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"7,472","3,647",48.80%,18.5,51.3,567,33
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"6,769","5,330",78.70%,9,27.8,5,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,925,677,73.20%,11.8,26.8,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services, -   , -   , -   ,-,-,0,0
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,5, -   , -   ,-,-,0,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"2,482","1,127",45.40%,20.1,49.9,158,3
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology Service,"5,878","2,799",47.60%,19,50.6,425,22
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"3,909","1,750",44.80%,20.5,71.2,883,175
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"5,882","3,566",60.60%,14.4,52.5,483,34
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"4,858","3,052",62.80%,13.8,35.5,89,5
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery Service,12,5,41.70%,-,-,0,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgical Service,1, -   , -   ,-,-,0,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"2,101","1,136",54.10%,15.4,67.3,338,46
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,7, -   , -   ,-,-,0,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,159,89,56.00%,12.5,52.1,13,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"3,761","2,363",62.80%,13,37,60,5
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,Cardiology Service,"4,611","3,080",66.80%,12.4,35,29,1
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_330,Dermatology Service,"8,060","4,138",51.30%,17.2,50.7,574,22
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"3,611","2,119",58.70%,14.5,41.4,40,1
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_400,Neurology Service,"3,180","1,860",58.50%,14.5,35.4,5,1
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_410,Rheumatology Service,"1,915","1,425",74.40%,11,31,12,1
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,105,79,75.20%,9.5,40.8,1,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_502,Gynaecology Service,"5,490","3,030",55.20%,15.9,46.2,258,15
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X02,Other - Medical Services,"14,830","9,561",64.50%,12.7,37.1,342,66
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X03,Other - Mental Health Services,1, -   , -   ,-,-,0,0
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"3,574","2,075",58.10%,14.5,45.5,132,5
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,"13,601","7,653",56.30%,15.2,45.3,562,38
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X06,Other - Other Services,"2,986","1,839",61.60%,12.2,47,139,12
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery Service, -   , -   , -   ,-,-,0,0
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology Service,79,67,84.80%,9.8,22.7,1,0
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma and Orthopaedic Service,"5,617","4,212",75.00%,8.4,33.5,82,4
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_120,Ear Nose and Throat Service, -   , -   , -   ,-,-,0,0
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_130,Ophthalmology Service, -   , -   , -   ,-,-,0,0
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_140,Oral Surgery Service, -   , -   , -   ,-,-,0,0
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,0
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_160,Plastic Surgery Service,4,4,100.00%,-,-,0,0
