Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,786","1,957",51.70%,17.1,53.8,328,42,144
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,055","3,435",48.70%,18.6,50.2,481,34,138
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,319","3,265",44.60%,20.9,56.3,743,105,354
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,688","2,376",50.70%,17.6,55.7,471,60,227
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,743","2,845",60.00%,14.5,40,88,3,26
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,331","3,131",49.50%,18.2,47.9,347,21,127
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,432",683,47.70%,18.8,55.6,143,11,60
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,741,350,47.20%,18.9,50.5,51,5,22
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,975,612,62.80%,12.8,38.3,18,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,37,10,27.00%,31.5,71,6,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"6,735","3,977",59.00%,14.1,41.3,278,2,45
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,207","6,213",75.70%,10.5,28.5,2,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"8,696","3,764",43.30%,21.6,50.9,592,1,20
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,454","2,335",52.40%,16.7,49.6,281,3,48
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,607",888,55.30%,15.8,41.3,28,-,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,826,712,86.20%,6.2,22.7,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,96,75,78.10%,4.3,28.3,1,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"9,620","5,151",53.50%,16.5,48.4,657,99,310
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"13,111","8,542",65.20%,12.2,38.2,302,4,84
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,839","5,532",51.00%,17.5,50.7,766,35,168
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,097","6,578",54.40%,15.7,53.2,"1,047",96,404
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,"1,049",723,68.90%,9.5,40.5,34,2,9
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"11,146","6,998",62.80%,13.5,36.6,161,2,43
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,801","1,960",70.00%,11.4,30.5,14,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,676","2,726",58.30%,15.1,39,42,-,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"11,524","4,212",36.50%,25.2,52.4,962,1,93
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,401","1,057",75.40%,10.1,27.7,5,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,974","4,560",45.70%,19.5,41.3,103,-,6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,80,43,53.80%,17,28.5,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"5,211","3,199",61.40%,13.8,34.3,10,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,880","3,277",84.50%,7.5,21.7,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"3,471","2,762",79.60%,11,23.3,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"1,927","1,431",74.30%,11.1,25.9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,703","1,500",55.50%,15.8,34.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,668,626,93.70%,5.3,17.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,44,44,100.00%,3.7,11.2,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"7,731","3,819",49.40%,18.3,52.7,658,56,208
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"7,396","5,726",77.40%,9.3,26.5,17,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,930,690,74.20%,11.8,27.1,-,-,-
