Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"4,097","2,194",53.60%,16.6,54,377,53,176
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"7,398","3,751",50.70%,17.7,51.4,566,49,190
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,575","3,469",45.80%,20.7,57.7,794,140,372
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"4,615","2,306",50.00%,18,58.2,484,82,233
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,829","2,841",58.80%,15,40.3,142,1,31
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,665","3,225",48.40%,18.7,50,476,46,147
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,472",698,47.40%,19,55.7,160,18,70
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,745,340,45.60%,20.7,50.2,51,8,31
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,916,582,63.50%,13,40.5,16,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,47,15,31.90%,27.5,65.2,7,-,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"6,383","3,824",59.90%,13.5,40.5,199,5,34
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,056","6,136",76.20%,10.3,29.1,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"8,485","3,769",44.40%,20.8,48.5,418,2,22
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,531","2,425",53.50%,16.4,47.8,229,8,41
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,003","1,137",56.80%,15.7,37.7,25,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,714,620,86.80%,7.6,22.5,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,110,88,80.00%,3.6,26.2,2,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"9,457","5,078",53.70%,16.3,50.2,674,121,336
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"12,780","8,469",66.30%,12,37.6,312,13,79
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"10,880","5,497",50.50%,17.7,50.5,749,58,210
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,476","6,697",53.70%,15.9,54.3,"1,148",124,457
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,975,686,70.40%,8.1,39.3,25,-,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"10,969","6,958",63.40%,13.5,36.4,156,11,64
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,859","2,027",70.90%,11.4,30.9,14,-,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,587","2,719",59.30%,14.5,38.6,48,1,8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"11,274","4,291",38.10%,24.4,50.2,679,3,54
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,401","1,090",77.80%,9.7,27.8,6,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,824","4,823",49.10%,18.4,41.1,130,-,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,87,71,81.60%,12.7,24.5,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"5,101","3,102",60.80%,13.9,34.3,12,2,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,699","3,182",86.00%,8.5,21.6,-,-,-
