Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,333","1,565",47.00%,19.8,53.2,283,14,87
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,296","2,640",41.90%,23.1,52.7,530,9,116
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,230","3,480",48.10%,18.7,56.4,806,31,214
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,478","2,810",51.30%,17.3,55,516,24,182
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,269","3,277",62.20%,13.9,39.2,57,1,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,861","2,794",40.70%,23.1,55.5,685,19,162
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,453",731,50.30%,17.8,50.6,109,5,49
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,215",649,53.40%,16.8,47.7,72,1,23
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,999,622,62.30%,13.6,42,15,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,38,20,52.60%,14,68.5,6,-,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,563","4,156",55.00%,15.7,47.4,415,3,68
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"8,341","5,769",69.20%,11.7,30.7,13,1,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"9,468","3,617",38.20%,25.7,63.8,"1,745",10,679
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,165","2,264",43.80%,21.4,55,548,2,148
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,309","1,333",57.70%,15,40.4,76,-,18
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,775,653,84.30%,5.1,24.4,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,150,138,92.00%,5,18,1,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"9,990","4,953",49.60%,18.2,48.5,607,16,170
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"14,770","9,570",64.80%,11.9,38.3,342,5,67
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,411","4,825",51.30%,17.4,48.9,603,13,172
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,882","6,859",53.20%,16,50.8,927,49,281
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,"1,015",710,70.00%,10,39,37,1,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,948","1,465",49.70%,18.1,44,106,2,22
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"3,335","2,147",64.40%,13,33,29,-,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"5,491","3,130",57.00%,15.3,41.9,114,-,5
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"11,397","4,014",35.20%,26.4,57.5,"1,387",20,393
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,556","1,140",73.30%,9.9,28.5,1,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"2,118",922,43.50%,21.3,45.2,59,-,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,4,3,75.00%,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,32,30,93.80%,10.5,15.4,-,-,-
