Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,143","1,479",47.10%,19.4,52.9,273,4,68
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,238","2,873",46.10%,20.2,52.7,521,10,127
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,566","3,940",52.10%,17.1,48.3,451,13,81
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,890","3,104",45.10%,20.1,56.3,798,25,210
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,098","3,105",60.90%,14.4,36,37,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,369","2,984",40.50%,24.1,57.8,957,69,260
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,208",568,47.00%,19.2,50.8,92,7,22
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,173",492,41.90%,21.5,53.9,110,-,22
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,1,1,100.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,19,10,52.60%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,305","4,393",52.90%,16.4,44.5,312,1,34
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,625","6,182",64.20%,11.8,34.8,30,1,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,455","3,014",46.70%,19.6,51,487,5,61
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,258","2,984",56.80%,15.6,48.2,327,3,53
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,273","1,150",50.60%,17.8,42.9,61,1,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,010",880,87.10%,6.5,25.2,5,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,171,122,71.30%,6.9,29.7,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,280","5,070",49.30%,18.3,49.8,712,10,163
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"17,026","10,271",60.30%,13.8,38.2,295,1,36
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,971","4,512",50.30%,17.9,51.7,701,10,148
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,076","7,265",55.60%,15.2,48.3,777,28,214
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,740,449,60.70%,10.5,52.8,65,1,4
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,921","1,530",52.40%,16.8,49.7,186,1,31
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,241","2,011",47.40%,19,44.1,131,-,8
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,222","3,023",36.80%,24.3,50,578,7,146
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"8,453","3,189",37.70%,24.1,57.1,"1,066",43,317
