Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks,Year_Num,Month_Num,Source_File
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,701","1,784",48.20%,19,50.8,273,23,117,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,942","3,042",43.80%,20.8,49.4,443,19,112,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,343","3,361",45.80%,20.3,55,726,56,281,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"5,066","2,689",53.10%,15.5,54.5,470,33,166,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"5,002","3,131",62.60%,12.8,37.6,66,2,9,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,493","3,164",48.70%,18.8,50.5,468,6,113,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,428",633,44.30%,21.4,53.5,129,11,43,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,965,526,54.50%,14,49,50,2,10,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,990,576,58.20%,14,38.4,21,0,2,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,29,9,31.00%,28.5,57.7,3,1,1,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,160","4,065",56.80%,14.9,43.6,293,2,53,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"7,797","5,626",72.20%,11.4,27.5,9,0,0,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"9,113","3,602",39.50%,23.7,56.5,"1,034",4,165,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"4,650","2,318",49.80%,18.1,51.5,352,0,60,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"1,860","1,022",54.90%,14.9,43.1,48,1,4,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,858,702,81.80%,6.7,25,2,0,0,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,138,118,85.50%,5.1,30.2,1,0,0,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,384","5,422",52.20%,16.3,47.3,609,62,234,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"13,729","8,806",64.10%,11.8,38.1,285,11,83,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,625","5,136",53.40%,16,49.4,618,18,176,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"12,474","6,638",53.20%,15.6,50.6,921,43,273,2023,4,RTT_2023_APR
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,"1,146",757,66.10%,10.9,41.7,48,0,6,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"9,900","6,265",63.30%,11.5,40.8,221,3,25,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"2,657","1,897",71.40%,10,32.3,18,0,3,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"4,778","2,700",56.50%,15,40.7,66,0,4,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"11,616","3,947",34.00%,27.5,55.3,"1,296",2,199,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"1,405","1,054",75.00%,9.1,28.7,2,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"10,013","4,334",43.30%,21.2,43.5,232,1,13,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,50,17,34.00%,28,38,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service, -   , -   , -   ,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service, -   , -   , -   ,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"4,628","3,027",65.40%,11.2,35.5,14,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"3,770","3,031",80.40%,8.1,25.4,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"3,841","2,866",74.60%,10,26.8,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"2,014","1,435",71.30%,10.4,29.9,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"2,735","1,468",53.70%,15.9,34.8,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,716,670,93.60%,5,15.6,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,32,32,100.00%,1.7,6.4,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"7,202","3,203",44.50%,21.4,54.8,689,23,180,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"7,720","5,682",73.60%,10.2,27.7,14,0,1,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,"1,074",759,70.70%,11.1,27.8,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services, -   , -   , -   ,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,18,18,100.00%,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"2,829","1,063",37.60%,23.5,50.8,195,9,47,2023,4,RTT_2023_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology Service,"6,272","2,875",45.80%,20.4,53.2,568,5,56,2023,4,RTT_2023_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"3,797","2,221",58.50%,13.6,49.4,244,47,103,2023,4,RTT_2023_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"7,279","4,516",62.00%,12.5,44.5,224,2,50,2023,4,RTT_2023_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"3,921","2,847",72.60%,9.7,33.2,44,0,4,2023,4,RTT_2023_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery Service,11,3,27.30%,-,-,0,0,0,2023,4,RTT_2023_APR
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgical Service,1,1,100.00%,-,-,0,0,0,2023,4,RTT_2023_APR
