Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,266","1,763",54.00%,15.4,50.2,224,5,69
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,964","2,877",48.20%,19,48.5,343,6,101
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,754","4,268",55.00%,15.3,46.7,379,3,115
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"7,124","3,519",49.40%,18.2,53,609,31,247
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,899","3,112",63.50%,13.2,37,33,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,906","3,066",44.40%,21.1,55,703,33,227
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,250",615,49.20%,18.4,50.3,91,1,26
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,178",550,46.70%,19.9,51.1,86,1,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,5,5,100.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,22,19,86.40%,4.5,34.2,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,922","4,388",49.20%,18.3,46.6,296,-,49
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,316","6,044",64.90%,12.9,33.9,30,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,519","3,183",48.80%,18.6,49.5,342,-,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,742","3,284",57.20%,15.1,41.3,204,1,37
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,337","1,176",50.30%,17.9,43.3,53,-,9
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,037",877,84.60%,7.1,25.6,2,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,361,307,85.00%,5.8,33.3,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"11,023","5,850",53.10%,16.5,49.1,661,4,182
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"18,596","11,038",59.40%,13.9,42.3,327,2,45
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,377","5,163",55.10%,15.4,53,804,19,243
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,292","7,770",58.50%,14.2,46.9,661,20,177
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,783,562,71.80%,8.4,42.2,14,-,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,837","1,496",52.70%,16.2,48.8,169,5,41
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,157","1,879",45.20%,19.9,45.7,126,-,6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,664","3,267",37.70%,24.1,53,749,5,163
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"9,987","4,422",44.30%,21,56.3,"1,126",19,360
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"2,383","1,284",53.90%,16.7,39.1,18,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,209","3,894",42.30%,21.7,52.2,750,11,260
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,52,27,51.90%,16,42.8,1,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,20,14,70.00%,5,32.4,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"10,178","5,044",49.60%,18.2,42.9,207,-,13
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"11,158","5,553",49.80%,18.1,44,262,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"7,130","3,144",44.10%,21.3,48.2,306,-,15
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Respiratory Medicine Service,"3,801","2,084",54.80%,16.4,40.8,44,-,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology Service,"3,842","1,337",34.80%,25.1,46.4,13,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology Service,827,684,82.70%,6.9,24.9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Elderly Medicine Service,51,51,100.00%,1.8,8,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology Service,"6,770","3,103",45.80%,19.6,45.6,293,5,85
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X02,Other - Medical Services,"12,663","7,301",57.70%,15.2,41.3,184,1,13
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X03,Other - Mental Health Services,39,34,87.20%,9.3,20.9,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X04,Other - Paediatric Services,"3,446","1,964",57.00%,15.7,38.3,27,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X05,Other - Surgical Services,"9,526","4,833",50.70%,17.7,45.5,325,5,70
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X06,Other - Other Services,"1,107",955,86.30%,3.9,24.6,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,902",723,38.00%,22.9,56.7,209,1,81
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_101,Urology Service,"8,190","3,251",39.70%,24.2,63.3,"1,476",16,554
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"5,753","3,302",57.40%,15.4,43.8,215,1,60
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"11,221","6,180",55.10%,15.8,54.3,"1,029",3,399
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"5,303","3,787",71.40%,10.4,34.7,60,-,7
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_140,Oral Surgery Service,4,4,100.00%,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_150,Neurosurgical Service,1,1,100.00%,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"3,389","1,594",47.00%,19.4,56.7,374,23,136
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,13,13,100.00%,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,92,63,68.50%,4.8,44.3,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"4,082","2,729",66.90%,11.5,37.9,52,1,6
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,Cardiology Service,"5,344","3,651",68.30%,12.2,33.6,53,-,1
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_330,Dermatology Service,"9,368","5,686",60.70%,13.8,36.7,36,-,2
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"4,360","2,779",63.70%,13.2,40.3,74,-,4
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_400,Neurology Service,"4,110","2,151",52.30%,17.2,38.3,5,-,3
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_410,Rheumatology Service,"2,382","1,457",61.20%,14,39.4,10,1,1
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,104,54,51.90%,16.3,43.8,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_502,Gynaecology Service,"6,961","3,682",52.90%,16.7,46.5,344,12,92
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X02,Other - Medical Services,"12,912","8,550",66.20%,11.9,36.8,146,-,19
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X03,Other - Mental Health Services,1,1,100.00%,-,-,-,-,-
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"5,067","2,856",56.40%,15.3,55.3,478,1,166
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X05,Other - Surgical Services,"16,679","9,220",55.30%,15.7,46.8,701,9,106
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,X06,Other - Other Services,"2,081","1,052",50.60%,17.8,49.9,137,1,55
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_100,General Surgery Service,-,-,-,-,-,-,-,-
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_101,Urology Service,74,40,54.10%,16.5,36,-,-,-
