Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,043","1,603",52.70%,16.5,51.8,239,3,69
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,143","2,796",45.50%,20.1,49.2,388,8,128
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,377","3,867",52.40%,16.8,47.2,406,3,121
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,820","3,239",47.50%,19.2,57.6,771,37,266
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,928","3,110",63.10%,12.7,36.5,27,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,006","2,913",41.60%,23.3,57.4,789,47,247
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,282",605,47.20%,19.3,50.9,95,1,23
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,157",550,47.50%,19.2,49.8,73,-,16
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,4,4,100.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,17,13,76.50%,-,-,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,717","4,481",51.40%,17.4,45.2,274,-,61
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,263","6,042",65.20%,12.7,34,46,-,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,418","3,156",49.20%,18.5,48.7,293,1,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,485","3,099",56.50%,15.4,43.3,208,1,17
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,356","1,214",51.50%,17.5,43.1,58,-,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,967,809,83.70%,7.5,27.2,6,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,302,260,86.10%,4.8,31.6,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,489","5,512",52.60%,16.9,48.9,628,13,192
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"17,921","10,571",59.00%,14.2,41.2,287,2,36
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,201","4,849",52.70%,16.5,52.5,762,11,201
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"13,067","7,641",58.50%,14,47.2,629,21,175
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,738,501,67.90%,7.9,43.3,27,-,6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,858","1,572",55.00%,15.8,48.1,162,8,48
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,288","2,075",48.40%,18.7,45,121,-,6
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,364","3,206",38.30%,25.3,50.9,607,4,120
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"9,988","4,574",45.80%,20.2,56.3,"1,100",41,321
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"2,386","1,355",56.80%,15.4,40.1,28,-,2
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"9,156","3,704",40.50%,21.9,53.3,797,14,244
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,47,29,61.70%,14.8,38.6,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,21,10,47.60%,18.5,42.3,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"10,082","5,359",53.20%,16.9,42,195,-,16
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"10,093","5,134",50.90%,17.6,42.9,133,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology Service,"6,731","2,919",43.40%,21,46.1,227,-,3
