Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,977","2,289",57.60%,14.2,46.6,212,4,24
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,440","2,927",53.80%,16.1,45.1,182,2,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,086","4,710",58.20%,14.8,42,198,-,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,818","3,134",46.00%,20.4,51.8,537,9,94
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,611","2,831",61.40%,13.5,36.1,28,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,950","3,198",46.00%,19.8,46.6,312,14,61
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,111",755,68.00%,11.2,35.3,16,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,115",628,56.30%,14.5,45,41,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,1,1,100.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,32,25,78.10%,8.8,26.4,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,089","3,963",49.00%,18.6,44.2,127,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,782","6,403",65.50%,11.9,36,19,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,769","3,319",49.00%,18.4,46.2,204,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"6,359","3,386",53.20%,16.3,42.5,149,1,1
