Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,775","2,184",57.90%,14.4,48.3,202,1,33
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,359","2,940",54.90%,15.6,45.6,208,1,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,138","4,778",58.70%,14,42.5,243,2,16
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,718","2,979",44.30%,20.5,52.1,543,9,116
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,945","2,962",59.90%,14.2,37.6,28,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,969","3,177",45.60%,19.7,49.1,437,18,114
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,148",718,62.50%,12.7,40.1,20,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,069",586,54.80%,14.8,47.9,53,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,3,2,66.70%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,26,20,76.90%,9.5,24.9,1,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,508","3,525",46.90%,19.3,43.1,142,-,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,551","6,298",65.90%,11.7,34.9,21,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,794","3,396",50.00%,18,48,242,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"6,377","3,493",54.80%,16.3,41.2,114,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,510","1,246",49.60%,18.1,40.8,42,-,2
