Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,704","2,179",58.80%,13.7,48.6,217,4,32
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"5,185","2,708",52.20%,16.7,47,249,2,18
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,124","4,780",58.80%,14.2,45.2,309,5,21
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,642","3,024",45.50%,19.9,52,531,10,87
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,888","2,927",59.90%,14.7,39.5,56,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"6,864","3,150",45.90%,19.8,50.2,470,15,113
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,284",722,56.20%,15,41.4,32,1,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,070",572,53.50%,15.9,46.5,33,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,7,6,85.70%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,25,21,84.00%,7.8,21,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"7,435","3,474",46.70%,19.4,42.6,216,1,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,474","6,193",65.40%,11.7,34.1,21,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,977","3,488",50.00%,18,50.4,457,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"6,254","3,312",53.00%,16.5,42.3,151,-,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,626","1,274",48.50%,18.6,43.9,60,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,266","1,042",82.30%,8,25.2,6,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,458,353,77.10%,8.9,28.4,2,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"11,008","5,874",53.40%,16.6,46.2,465,5,68
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"18,718","11,175",59.70%,13.7,43.3,527,1,7
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"9,347","4,913",52.60%,16.8,48.5,521,14,127
Y56,R1H,BARTS HEALTH NHS TRUST,X05,Other - Surgical Services,"14,457","8,654",59.90%,13.7,45.3,527,14,91
Y56,R1H,BARTS HEALTH NHS TRUST,X06,Other - Other Services,862,612,71.00%,9.4,38.2,19,-,1
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery Service,"2,527","1,339",53.00%,16.2,47.7,127,-,16
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology Service,"4,012","1,767",44.00%,21.3,45.2,105,-,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,165","3,098",37.90%,23.7,57.2,"1,028",11,198
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,Ear Nose and Throat Service,"8,144","2,881",35.40%,23.9,52,648,15,125
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology Service,"2,495","1,213",48.60%,18.6,43.6,36,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery Service,"7,971","3,429",43.00%,20.7,49.7,490,10,71
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_160,Plastic Surgery Service,58,16,27.60%,27.7,48.4,4,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_170,Cardiothoracic Surgery Service,1,1,100.00%,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Internal Medicine Service,18,14,77.80%,-,-,-,-,-
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology Service,"10,587","4,590",43.40%,21.8,47.1,311,-,3
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology Service,"12,006","4,888",40.70%,21.9,50.5,780,-,4
