Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks,Year_Num,Month_Num,Source_File,% 52 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,"3,035","1,562",51.50%,16.9,52.1,244,5,75,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,"6,179","2,915",47.20%,19.5,51.3,474,9,143,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,"7,707","4,073",52.80%,16,48,439,10,107,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,"6,990","3,194",45.70%,21.2,58.9,882,44,282,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,"4,968","3,043",61.30%,12.7,35.9,37,-,2,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,"7,282","2,913",40.00%,23.5,58.1,897,51,252,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,"1,262",568,45.00%,19.5,50,84,4,19,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,"1,191",559,46.90%,19.9,49.7,88,1,20,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,5,4,80.00%,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,20,11,55.00%,13.5,47.2,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,"8,330","4,526",54.30%,15.6,43.7,249,-,53,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,"9,529","6,088",63.90%,12.1,34.1,33,-,2,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,"6,557","3,133",47.80%,19.4,49.4,381,5,26,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,"5,325","2,965",55.70%,15.6,46,269,2,38,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,"2,285","1,171",51.20%,17.2,42.7,66,1,9,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,"1,043",895,85.80%,6.8,25.4,7,-,2,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,219,166,75.80%,6.8,32.2,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,"10,283","5,229",50.90%,17.1,48.2,599,9,187,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"17,417","10,319",59.20%,13.2,39.6,289,5,39,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,4,RTT_2024_APR,
Y56,R1H,BARTS HEALTH NHS TRUST,X04,Other - Paediatric Services,"8,824","4,460",50.50%,17.4,51.9,700,16,171,2024,4,RTT_2024_APR,
