provider_code,p92_wait_time,pct_change_last_month,waiting_list_change,Random Forest,Treatment_Function,current_pct,total_waiting
R0A,28.2,-4.298407997,5,1,General Internal Medicine Service,73.7838,370
R1D,42.6,-10.68895643,-5,1,General Surgery Service,59.5238,42
R1D,29.8,1.304347826,0,1,Oral Surgery Service,65.6522,230
R1F,37.2,-3.518250938,18,1,Gastroenterology Service,61.8922,761
R1F,38.9,15.33180778,7,1,Other - Other Services,63.1579,76
RA9,39.3,-3.595660915,5,1,Elderly Medicine Service,50.3937,381
RA9,22.9,3.305995836,8,1,Rheumatology Service,86.1386,707
RAE,29.9,-4.001301236,-5,1,General Internal Medicine Service,73.5849,53
RAE,34.9,5.250131253,-6,1,General Surgery Service,60.9715,597
RAJ,23.9,-1.015051653,-5,1,Elderly Medicine Service,84.4941,761
RAJ,53.7,-9.090909091,0,1,Neurosurgical Service,23.8636,88
RAS,NULL,7.142857143,1,1,Plastic Surgery Service,57.1429,7
RBL,29.5,-0.9068694,18,1,Elderly Medicine Service,78.6207,145
RBL,37.1,-1.666666667,9,1,General Internal Medicine Service,58.3333,84
RBN,26.5,-0.498405104,17,1,Other - Other Services,83.7121,264
RBT,31.9,-3.492063492,-12,1,General Internal Medicine Service,40.9524,105
RBT,48.2,2.311050394,-42,1,Respiratory Medicine Service,46.7162,807
RCD,33.6,5.855108315,-83,1,Cardiology Service,75.8028,872
RCD,42.3,-8.175182482,-22,1,Other - Other Services,40,115
RCD,24.6,1.509987396,-32,1,Other - Paediatric Services,79.7538,731
RCF,37.2,0.171701275,-23,1,Gastroenterology Service,67.4091,853
RCF,NULL,10,4,1,General Internal Medicine Service,60,10
RCU,49,3.848884381,-9,1,Oral Surgery Service,28.6765,136
RCX,57.5,2.872421696,9,1,Plastic Surgery Service,53.7815,119
RD1,23.1,-4.677998894,-15,1,Elderly Medicine Service,72.6368,201
RDE,30.4,-3.909653749,44,1,Other - Paediatric Services,68.5393,534
RDE,47.1,7.152971321,-62,1,Plastic Surgery Service,50.7653,392
RDU,23,-11.47368421,12,1,General Internal Medicine Service,78,50
REF,26.8,-2.079268293,56,1,Other - Paediatric Services,79.4207,656
REM,19.9,-2.744168487,20,1,Elderly Medicine Service,88.9435,814
RFS,35.1,7.669753827,3,1,Respiratory Medicine Service,70.0873,458
RH5,35.5,-5.905256327,2,1,General Internal Medicine Service,47.8261,69
RHM,25.5,2.413459216,14,1,Rheumatology Service,81.2233,703
RHU,48.9,-0.551181102,-13,1,Plastic Surgery Service,50,622
RHW,25.4,-5.965554539,-72,1,Oral Surgery Service,77.2277,404
RJ1,32.9,10.42670576,-78,1,Other - Other Services,62.6401,803
RJ7,37.6,1.719660597,17,1,Cardiothoracic Surgery Service,74.812,266
RJE,33.3,-3.040212108,-18,1,Cardiothoracic Surgery Service,69.863,292
RJE,40.3,0.68597561,-25,1,Neurosurgical Service,57.561,615
RJL,37.4,-6.13183444,8,1,General Internal Medicine Service,72.8155,103
RJN,45.3,-10.87160262,-20,1,Elderly Medicine Service,27.2727,77
RJR,27.8,2.840755735,32,1,Other - Other Services,70.3846,260
RJZ,NULL,-13.33333333,-2,1,Other - Mental Health Services,70,10
RJZ,38.3,6.618010605,-42,1,Other - Other Services,72.6058,449
RK5,23,0.757575758,33,1,Plastic Surgery Service,81.8182,165
RK9,50.3,1.895947823,9,1,Cardiothoracic Surgery Service,46.3793,580
RKB,37.9,-3.287635179,29,1,Cardiothoracic Surgery Service,66.348,523
RKB,37.1,5.874887795,82,1,Other - Other Services,61.7978,445
RKB,48.3,-3.169731149,-4,1,Plastic Surgery Service,47.1121,883
RL1,NULL,-11.11111111,-5,1,Elderly Medicine Service,88.8889,18
RL4,27.2,-0.533795646,3,1,Dermatology Service,80.1872,641
RL4,NULL,13.63636364,-1,1,Other - Other Services,63.6364,11
RLQ,48.3,5.291005291,-6,1,Cardiothoracic Surgery Service,57.1429,21
RLQ,39.2,3.345145287,2,1,Elderly Medicine Service,61.1765,85
RLQ,42,5.090909091,6,1,General Internal Medicine Service,46,50
